"Wish List","Önskelista"
"Localized Exception.","Lokaliserade undantag."
"Are you sure you want to remove this item?","Är du säker du vill ta bort denna artikel?"
"Special Price","Special Price"
"Regular Price","Regular Price"
"Share Wish List","Share Wish List"
"Add All to Cart","Lägg till alla i kundvagnen"
"Update Wish List","Update Wish List"
"Move to Wishlist","Flytta till önskelista"
"Add to Wish List","Lägg till i önskelista"
"View Product","Visa produkt"
"Qty","Antal"
"Add to Cart","Lägg till i kundvagn"
"Availability","Tillgänglighet"
"In stock","I lager"
"Out of stock","Ej i lager"
"Edit","Redigera"
"Remove Item","Ta bort Artikel"
"Remove item","Ta bort artikel"
"Add to Compare","Lägg till i jämför"
"This Wish List has no Items","This Wish List has no Items"
"%1 has been added to your Wish List.","%1 har lagts till din önskelista."
"Click <a href=""%1"">here</a> to continue shopping.","Klicka <a href=""%1""> här</a> att fortsätta handla."
"See Details","Se detaljer"
"Options Details","Detaljer för Alternativ"
"RSS link to %1's wishlist","RSS link to %1's wishlist"
"RSS Feed","RSS Feed"
"Product","Produkt"
"Back","Tillbaka"
"Wish List is empty now.","Wish List is empty now."
"* Required Fields","* Obligatoriska fält"
"Sharing Information","Delningsinformation"
"Email addresses, separated by commas","Email addresses, separated by commas"
"Check here to link an RSS feed to your Wish List.","Check here to link an RSS feed to your Wish List."
"Last Added Items","Last Added Items"
"Remove This Item","Ta bort Denna Artikel"
"Go to Wish List","Go to Wish List"
"You have no items in your wish list.","Du har inga artiklar i din önskelista."
"Take a look at %customer_name's Wish List","Take a look at %customer_name's Wish List"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name wants to share this Wish List from %store_name with you:"
"Message from %customer_name:","Message from %customer_name:"
"View all Wish List items","View all Wish List items"
"Wish List Section","Wish List Section"
"Share Options","Share Options"
"Email Sender","E-postavsändare"
"Email Template","E-postmall"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-postmallen valt baserat på tema reserv när ""Standard"" alternativet är valt."
"Max Emails Allowed to be Sent","Max Emails Allowed to be Sent"
"Email Text Length Limit","Email Text Length Limit"
"General Options","Allmänna inställningar"
"Enabled","Aktiverad"
"My Wish List Link","Min önskelistelänk"
"Display Wish List Summary","Display Wish List Summary"
"Enable RSS","Aktivera RSS"
"No Items Found","No Items Found"
"Product Name","Produktnamn"
"User Description","User Description"
"Quantity","Antal"
"Add Locale","Lägg till Locale"
"Add Date","Lägg till datum"
"Days in Wish List","Dagar i önskelista"
"Action","Åtgärd"
"Configure","Konfigurera"
"Delete","Ta bort"
"Product Details and Comment","Product Details and Comment"
"Add To Wishlist","Add To Wishlist"
"Are you sure you want to remove this product from your Wish List?","Are you sure you want to remove this product from your Wish List?"
"%1 has been removed from your Wish List.","%1 has been removed from your Wish List."
"10 by default. Max - 10000","10 by default. Max - 10000"
"255 by default","255 by default"
"The Wish List item can't load at this time. Please try again later.","The Wish List item can't load at this time. Please try again later."
"The cart item doesn't exist.","The cart item doesn't exist."
"You must login or register to add items to your wishlist.","You must login or register to add items to your wishlist."
"Show in Sidebar","Show in Sidebar"
