"Shopping Cart","購物車"
"Customer:","Customer:"
"Items","項目"
"Total:","Total:"
"Billing Address:","Billing Address:"
"Shipping Address:","Shipping Address:"
"Shipping Method:","Shipping Method:"
"Payment Method:","Payment Method:"
"Date & Time:","Date & Time:"
"Sign In","登入"
"Email Address","Email Address"
"Password","密碼"
"Forgot Your Password?","Forgot Your Password?"
"or","or"
"* Required Fields","* Required Fields"
"My billing and shipping address are the same","My billing and shipping address are the same"
"Update","Update"
"Cancel","取消"
"Save in address book","Save in address book"
"Billing Address","Billing Address"
"Enter your billing address to get a tax estimate.","Enter your billing address to get a tax estimate."
"Enter your destination to get a shipping estimate.","Enter your destination to get a shipping estimate."
"Sorry, no quotes are available for this order at this time","Sorry, no quotes are available for this order at this time"
"Total","Total"
"Estimated Total","Estimated Total"
"You can create an account after checkout.","You can create an account after checkout."
"You already have an account with us. Sign in or continue as guest.","You already have an account with us. Sign in or continue as guest."
"Login","Login"
"Close","關閉"
"of","of"
"Items in Cart","Items in Cart"
"Item in Cart","Item in Cart"
"Recently added item(s)","Recently added item(s)"
"View and Edit Cart","View and Edit Cart"
"See Details","See Details"
"Options Details","Options Details"
"Remove","移除"
"Edit item","Edit item"
"Cart Subtotal","Cart Subtotal"
"No Payment Methods","No Payment Methods"
"Payment Information","付款資訊"
"No Payment method available.","No Payment method available."
"You can track your order status by creating an account.","You can track your order status by creating an account."
"Create an Account","Create an Account"
"Place Order","確認訂單"
"Forgot an Item?","Forgot an Item?"
"Edit Your Cart","Edit Your Cart"
"Ship Here","Ship Here"
"Select Method","Select Method"
"Method Title","Method Title"
"Carrier Title","Carrier Title"
"Ship To:","Ship To:"
"edit","edit"
"Shipping Address","Shipping Address"
"New Address","New Address"
"Shipping Methods","Shipping Methods"
"Next","Next"
"Order Summary","Order Summary"
"View Details","檢視詳細資料"
"Provided Zip/Postal Code seems to be invalid.","Provided Zip/Postal Code seems to be invalid."
" Example: "," Example: "
"If you believe it is the right one you can ignore this notice.","If you believe it is the right one you can ignore this notice."
"Field ","Field "
" is required."," is required."
"Something went wrong with your request. Please try again later.","Something went wrong with your request. Please try again later."
"Are you sure you want to remove all items from your shopping cart?","Are you sure you want to remove all items from your shopping cart?"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
"Review & Payments","Review & Payments"
"Select a new payment method","Select a new payment method"
"Shipping","物流"
"Save Address","Save Address"
"Please specify a regionId in shipping address.","Please specify a regionId in shipping address."
"Checkout Options","Checkout Options"
"Enable Onepage Checkout","Enable Onepage Checkout"
"Allow Guest Checkout","Allow Guest Checkout"
"Display Billing Address On","Display Billing Address On"
"Maximum Number of Items to Display in Order Summary","Maximum Number of Items to Display in Order Summary"
"Quote Lifetime (days)","Quote Lifetime (days)"
"After Adding a Product Redirect to Shopping Cart","After Adding a Product Redirect to Shopping Cart"
"Number of Items to Display Pager","Number of Items to Display Pager"
"Show Cross-sell Items in the Shopping Cart","Show Cross-sell Items in the Shopping Cart"
"Enable Clear Shopping Cart","Enable Clear Shopping Cart"
"My Cart Link","My Cart Link"
"Display Cart Summary","Display Cart Summary"
"Mini Cart","Mini Cart"
"Display Mini Cart","Display Mini Cart"
"Number of Items to Display Scrollbar","Number of Items to Display Scrollbar"
"Maximum Number of Items to Display","Maximum Number of Items to Display"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Email Receiver","Payment Failed Email Receiver"
"Payment Failed Template","Payment Failed Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","選擇「預設」後，電郵範本將根據佈景主題順序選擇。"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Separate by "","".","Separate by "",""."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Summary","概要"
"Order Total","Order Total"
"We'll send your order confirmation here.","We'll send your order confirmation here."
"Payment","Payment"
"Not yet calculated","Not yet calculated"
"The order was not successful!","The order was not successful!"
"Thank you for your purchase!","Thank you for your purchase!"
