"Attribute Properties","Attribuut-eigenschappen"
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' lijkt een DNS hostname maar we kunnen geen onvereenkomstige TLD vinden in het hostname schema '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' lijkt een DNS hostname maar er kan geen TLD ontleed worden."
"'%value%' does not look like a valid local network name.","'%value%' lijkt niet op een geldige lokale netwerknaam."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' lijkt op een lokale netwerknaam, dit formaat wordt niet aanvaard."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' lijkt een DNS-hostname te zijn, maar de opgegeven punycode notatie kan niet gedecodeerd worden."
"""%1"" is not a valid URL.","""%1"" is geen geldige URL."
"""%1"" is not a valid date.","""%1"" is geen geldige datum."
"""%1"" does not fit the entered date format.","""%1"" past niet in het ingevulde datum-formaat."
"""%1"" is a required value.","""%1"" is een vereiste waarde."
"Please enter a valid date between %1 and %2 at %3.","Voer een geldige datum in tussen %1 en %2 bij %3."
"Please enter a valid date equal to or greater than %1 at %2.","Voer een geldige datum gelijk aan of groter dan %1 bij %2."
"Please enter a valid date less than or equal to %1 at %2.","Voer een geldige datum in minder of gelijk aan %1 bij %2."
"""%1"" is not a valid file extension.","""%1"" is geen geldige bestandsextentie."
"""%1"" is not a valid file.","""%1"" is geen geldig bestand."
"""%1"" exceeds the allowed file size.","""%1"" overschrijdt de toegestane bestandsgrootte."
"""%1"" is not a valid image format","""%1"" is geen geldig formaat voor afbeeldingen"
"""%1"" width exceeds allowed value of %2 px.","""%1"" breedte overschrijdt toegestane waarde van %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" hoogte overschrijdt toegestane waarde van %2 px."
"""%1"" cannot contain more than %2 lines.","""%1"" mag niet meer dan %2 regels bevatten."
"""%1"" length must be equal or greater than %2 characters.","""%1"" lengte moet minimaal %2 karakters zijn."
"""%1"" length must be equal or less than %2 characters.","""%1"" lengte mag maximaal %2 karakters zijn."
"Attribute group does not belong to provided attribute set","Attribute group does not belong to provided attribute set"
"Cannot save attributeGroup","Cannot save attributeGroup"
"Group with id ""%1"" does not exist.","Group with id ""%1"" does not exist."
"Cannot delete attributeGroup with id %1","Cannot delete attributeGroup with id %1"
"AttributeSet with id ""%1"" does not exist.","AttributeSet with id ""%1"" does not exist."
"Wrong attribute set id provided","Wrong attribute set id provided"
"Attribute group does not belong to attribute set","Attribute group does not belong to attribute set"
"Attribute set not found: %1","Attribute set not found: %1"
"Attribute ""%1"" not found in attribute set %2.","Attribute ""%1"" not found in attribute set %2."
"System attribute can not be deleted","System attribute can not be deleted"
"Cannot save attribute","Cannot save attribute"
"Attribute with attributeCode ""%1"" does not exist.","Attribute with attributeCode ""%1"" does not exist."
"Cannot delete attribute.","Cannot delete attribute."
"Attribute with id ""%1"" does not exist.","Attribute with id ""%1"" does not exist."
"There was an error saving attribute set.","There was an error saving attribute set."
"Default attribute set can not be deleted","Default attribute set can not be deleted"
"There was an error deleting attribute set.","There was an error deleting attribute set."
"Invalid entity_type specified: %1","Ongeldige entity_type opgegeven: %1"
"Entity is not initialized","Entiteit is niet geïnitialiseerd"
"Unknown parameter","Unknown parameter"
"Unique constraint violation found","Unique constraint violation gevonden"
"The attribute code '%1' is reserved by system. Please try another attribute code","De attribuut code '%1' is gereserveerd door het systeem. Probeer een andere attribuut code"
"An attribute code must not be more than %1 characters.","An attribute code must not be more than %1 characters."
"Invalid default decimal value","Invalid default decimal value"
"Invalid default date","Invalid default date"
"Invalid entity supplied","Invalid entity supplied"
"Invalid backend model specified: %1","Invalid backend model specified: %1"
"Source model ""%1"" not found for attribute ""%2""","Bron model ""%1"" niet gevonden voor attribuut ""%2"""
"The value of attribute ""%1"" must be set","The value of attribute ""%1"" must be set"
"The value of attribute ""%1"" must be unique","The value of attribute ""%1"" must be unique"
"Invalid date","Ongeldige datum"
"Empty attribute code","Empty attribute code"
"Attribute %1 doesn't work with options","Attribute %1 doesn't work with options"
"Cannot save attribute %1","Cannot save attribute %1"
"Attribute %1 doesn't have any option","Attribute %1 doesn't have any option"
"Cannot load options for attribute %1","Cannot load options for attribute %1"
"Attribute %1 does not contain option with Id %2","Attribute %1 does not contain option with Id %2"
"Entity attribute with id ""%1"" not found","Entity attribute with id ""%1"" not found"
"Attribute set name is empty.","Attribute set name is empty."
"An attribute set named ""%1"" already exists.","An attribute set named ""%1"" already exists."
"No options found.","Geen opties gevonden."
"label","label"
"Invalid entity supplied: %1","Invalid entity supplied: %1"
"Attempt to add an invalid object","Attempt to add an invalid object"
"Invalid attribute identifier for filter (%1)","Ongeldige attribuut-identifier voor filter (%1)"
"Invalid attribute requested: %1","Invalid attribute requested: %1"
"Joint field or attribute expression with this alias is already declared","Gezamenlijk veld of attribuut expressie met deze alias is al gedeclareerd"
"Invalid alias, already exists in joint attributes","Ongeldige alias, bestaat al in gejoinde attributen"
"Invalid foreign key","Invalid foreign key"
"Invalid entity type","Invalid entity type"
"Invalid attribute type","Invalid attribute type"
"A joined field with this alias is already declared.","Gekoppeld veld met deze alias bestaat al."
"Invalid joint fields","Invalid joint fields"
"A joint field with this alias (%1) is already declared.","A joint field with this alias (%1) is already declared."
"Data integrity: No header row found for attribute","Data integrity: No header row found for attribute"
"Invalid attribute name: %1","Invalid attribute name: %1"
"Invalid character encountered in increment ID: %1","Ongeldig teken in oplopend ID: %1"
"The current module pathname is undefined.","De huidige module padnaam is niet gedefinieerd."
"The current module EAV entity is undefined.","De huidige module EAV entiteit is undefined."
"The form code is not defined.","Code voor het formulier is niet gedefinieerd."
"The entity instance is not defined.","Het exemplaar van de entiteit is niet gedefinieerd."
"Invalid form type.","Invalid form type."
"Invalid EAV attribute","Invalid EAV attribute"
"Attribute with the same code","Attribuut met dezelfde code"
"The storefront label is not defined.","Het storefront label is niet gedefinieerd."
"Default option value is not defined","Default option value is not defined"
"Attribute group with same code already exist. Please rename ""%1"" group","Er bestaan reeds een kenmerkgroep met dezelfde code. Wijzig de ""%1"" groep"
"Form Element with the same attribute","Form-element met dezelfde attribuut"
"Form Fieldset with the same code","Form-Fieldset met dezelfde code"
"Form Type with the same code","Form-type met dezelfde code"
"The value of attribute ""%1"" is invalid.","De waarde van attribuut '%1' is ongeldig."
"Wrong entity ID","Wrong entity ID"
"Wrong attribute set ID","Wrong attribute set ID"
"Wrong attribute group ID","Wrong attribute group ID"
"An attribute code must not be less than %1 and more than %2 characters.","An attribute code must not be less than %1 and more than %2 characters."
"Attribute with ID: ""%1"" does not exist","Kenmerk met id ""%1"" bestaat niet"
"AttributeSet does not exist.","AttributeSet bestaat niet."
"hello","hallo"
"Some internal exception message.","Een interne uitzonderingsbericht."
"The value of attribute not valid","De waarde van het attribuut is niet geldig"
"EAV types and attributes","EAV typen en kenmerken"
"Entity types declaration cache","Entiteit typen verklaringen cache"
"Not shared with other products","Not shared with other products"
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' looks like a DNS hostname but we cannot match the TLD against known list."
"Entity types declaration cache.","Entity types declaration cache."
"'Invalid backend model specified: ' .","'Invalid backend model specified: ' ."
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"The attribute group doesn't belong to the provided attribute set.","The attribute group doesn't belong to the provided attribute set."
"The attributeGroup can't be saved.","The attributeGroup can't be saved."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group with id ""%1"" can't be deleted.","The attribute group with id ""%1"" can't be deleted."
"The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again.","The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again."
"The attribute set ID is incorrect. Verify the ID and try again.","The attribute set ID is incorrect. Verify the ID and try again."
"The attribute group doesn't belong to the attribute set.","The attribute group doesn't belong to the attribute set."
"The ""%1"" attribute set wasn't found. Verify and try again.","The ""%1"" attribute set wasn't found. Verify and try again."
"The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again.","The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again."
"The system attribute can't be deleted.","The system attribute can't be deleted."
"The attribute can't be saved.","The attribute can't be saved."
"The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again.","The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again."
"The attribute can't be deleted.","The attribute can't be deleted."
"The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again.","The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again."
"The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The default attribute set can't be deleted.","The default attribute set can't be deleted."
"The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later.","The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later."
"This parameter is unknown. Verify and try again.","This parameter is unknown. Verify and try again."
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","The attribute code needs to be %1 characters or fewer. Re-enter the code and try again."
"The default decimal value is invalid. Verify the value and try again.","The default decimal value is invalid. Verify the value and try again."
"The default date is invalid. Verify the date and try again.","The default date is invalid. Verify the date and try again."
"The entity supplied is invalid. Verify the entity and try again.","The entity supplied is invalid. Verify the entity and try again."
"The ""%1"" backend model is invalid. Verify the backend model and try again.","The ""%1"" backend model is invalid. Verify the backend model and try again."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"The attribute code is empty. Enter the code and try again.","The attribute code is empty. Enter the code and try again."
"The ""%1"" attribute doesn't work with options.","The ""%1"" attribute doesn't work with options."
"The ""%1"" attribute can't be saved.","The ""%1"" attribute can't be saved."
"The ""%1"" attribute has no option.","The ""%1"" attribute has no option."
"The options for ""%1"" attribute can't be loaded.","The options for ""%1"" attribute can't be loaded."
"The ""%1"" attribute doesn't include an option with ""%2"" ID.","The ""%1"" attribute doesn't include an option with ""%2"" ID."
"The entity attribute with the ""%1"" ID isn't found. Reset the attribute and try again.","The entity attribute with the ""%1"" ID isn't found. Reset the attribute and try again."
"The attribute set name is empty. Enter the name and try again.","The attribute set name is empty. Enter the name and try again."
"A ""%1"" attribute set name already exists. Create a new name and try again.","A ""%1"" attribute set name already exists. Create a new name and try again."
"The ""%1"" entity supplied is invalid. Verify the entity and try again.","The ""%1"" entity supplied is invalid. Verify the entity and try again."
"The object wasn't added because it's invalid. To continue, enter a valid object and try again.","The object wasn't added because it's invalid. To continue, enter a valid object and try again."
"The ""%1"" attribute requested is invalid. Verify the attribute and try again.","The ""%1"" attribute requested is invalid. Verify the attribute and try again."
"The foreign key is invalid. Verify the foreign key and try again.","The foreign key is invalid. Verify the foreign key and try again."
"The entity type is invalid. Verify the entity type and try again.","The entity type is invalid. Verify the entity type and try again."
"The attribute type is invalid. Verify the attribute type and try again.","The attribute type is invalid. Verify the attribute type and try again."
"A joint field with a ""%1"" alias is already declared.","A joint field with a ""%1"" alias is already declared."
"A header row is missing for an attribute. Verify the header row and try again.","A header row is missing for an attribute. Verify the header row and try again."
"The ""%1"" attribute name is invalid. Reset the name and try again.","The ""%1"" attribute name is invalid. Reset the name and try again."
"The form type is invalid. Reset the type and try again.","The form type is invalid. Reset the type and try again."
"The EAV attribute is invalid. Verify the attribute and try again.","The EAV attribute is invalid. Verify the attribute and try again."
"The default option isn't defined. Set the option and try again.","The default option isn't defined. Set the option and try again."
"The entity ID is incorrect. Verify the ID and try again.","The entity ID is incorrect. Verify the ID and try again."
"The attribute group ID is incorrect. Verify the ID and try again.","The attribute group ID is incorrect. Verify the ID and try again."
"These changes affect all related products.","These changes affect all related products."
"Text Editor","Text Editor"
